id,context,question,option_a,option_b,option_c,option_d,correct_answer
108,Tabloul este o structură de date liniară care stochează elemente de același tip într-un bloc continuu de memorie.,Ce caracterizează un tablou (array)?,Permite inserarea și ștergerea rapidă a elementelor din mijloc,Stochează date de tipuri diferite în ordine aleatorie,Stochează elemente de același tip într-un bloc continuu de memorie,Este folosit doar pentru texte,C
109,Lista este o structură de date liniară în care elementele sunt conectate între ele prin legături (pointeri).,Cum diferă lista de un tablou?,"Elementele din listă sunt conectate prin pointeri, nu prin indici de memorie",Lista ocupă întotdeauna mai puțină memorie decât un tablou,Lista este o structură neliniară,Lista nu poate conține valori numerice,A
110,"O stivă (stack) este o structură de date liniară care urmează principiul LIFO — Last In, First Out.",Ce principiu respectă structura de date tip stivă?,"First In, First Out",Prioritate fixă,"Last In, First Out","Random In, Random Out",C
111,"O coadă (queue) este o structură de date care urmează principiul FIFO — First In, First Out.",Ce principiu respectă structura de date tip coadă?,Prioritate inversă,"First In, First Out",Execuție paralelă,"Last In, First Out",B
112,"O listă înlănțuită simplu conține noduri, fiecare având o valoare și un pointer către următorul element.",Ce elemente conține o listă înlănțuită simplu?,Valoare și pointer către următorul nod,Un tablou de adrese fixe,Doar valori numerice,Pointer către nodul anterior și următor,A
113,"O listă dublu înlănțuită are pointeri către elementul precedent și următor, permițând parcurgerea în ambele sensuri.",Care este diferența dintre o listă simplă și una dublu înlănțuită?,Lista dublu înlănțuită permite parcurgerea înainte și înapoi,Lista dublu înlănțuită este întotdeauna mai mică,Lista dublu înlănțuită nu are pointeri,Lista simplă permite căutarea mai rapidă,A
114,Un arbore este o structură de date neliniară alcătuită din noduri conectate ierarhic.,Cum este organizat un arbore în informatică?,Într-o listă ordonată de elemente,Pe o singură linie de date,"Pe nivele ierarhice, cu un nod rădăcină și noduri fiu",Doar prin conexiuni ciclice,C
115,Un arbore binar este un tip de arbore în care fiecare nod are cel mult doi fii: stâng și drept.,Câte legături are maxim un nod într-un arbore binar?,Patru fii,Trei fii,Un fiu,Doi fii,D
116,O matrice este un tablou bidimensional utilizat pentru a reprezenta date sub formă de rânduri și coloane.,Cum se numește structura de date bidimensională folosită pentru reprezentarea tabelară?,Matrice,Colectie,Listă înlănțuită,Vector,A
117,Un graf este o structură de date formată din noduri (vârfuri) și muchii care le conectează.,Ce elemente formează un graf?,Tablouri și stive,Liste și cozi,Puncte și drepte,Noduri și muchii,D
118,Căutarea secvențială parcurge elementele unui tablou unul câte unul până găsește valoarea căutată.,Cum funcționează căutarea secvențială?,Folosește arbori de decizie,Caută elementul prin împărțirea în jumătăți succesive,Sortează elementele înainte de căutare,Parcurge fiecare element în ordine până la găsirea valorii,D
119,"Căutarea binară funcționează doar pe tablouri ordonate, împărțind intervalul de căutare la fiecare pas.",Ce condiție este necesară pentru aplicarea căutării binare?,Tabloul să aibă mai puțin de 10 elemente,Toate valorile trebuie să fie unice,Tabloul trebuie să fie ordonat,Tabloul trebuie să fie neordonat,C
120,Sortarea prin inserție compară fiecare element cu cele deja sortate și îl inserează în poziția corectă.,Cum funcționează algoritmul de sortare prin inserție?,Combină listele sortate prin fuziune,Folosește metoda divide et impera,Compară fiecare element cu cele sortate și îl inserează corect,Schimbă elementele adiacente în ordine crescătoare,C
121,"Sortarea prin selecție găsește elementul minim și îl plasează în poziția corectă, repetând procesul pentru restul elementelor.",Ce strategie folosește sortarea prin selecție?,Folosește o coadă pentru elementele nesortate,Înlocuiește toate valorile egale cu zero,Împarte tabloul în două și sortează recursiv,Selectează elementul minim și îl mută în poziția corectă,D
122,Sortarea prin bule (bubble sort) compară elemente adiacente și le schimbă între ele până când lista devine sortată.,Cum funcționează sortarea prin bule?,Creează o listă de priorități,Elimină duplicatele din tablou,Combină sublistele sortate,Compară și schimbă elementele adiacente repetat,D
123,Complexitatea algoritmică exprimă timpul sau resursele necesare executării unui algoritm în funcție de dimensiunea datelor.,Ce măsoară complexitatea unui algoritm?,Numărul de linii de cod,Volumul de memorie al programului,Timpul sau resursele necesare în funcție de mărimea datelor,Numărul de variabile utilizate,C
124,Notația Big O este utilizată pentru a exprima ordinea de complexitate a unui algoritm.,Ce exprimă notația Big O?,Limbajul în care a fost scris algoritmul,Numărul de instrucțiuni dintr-un program,Eficiența compilatorului,Ordinea de complexitate a unui algoritm,D
125,"Un algoritm cu complexitate O(1) are timp de execuție constant, indiferent de mărimea datelor de intrare.",Ce înseamnă complexitatea O(1)?,Timp de execuție exponențial,Timp de execuție proporțional cu n,Timp de execuție constant,Timp de execuție logaritmic,C
126,Un algoritm cu complexitate O(n) parcurge toate elementele unei structuri o singură dată.,Ce caracterizează un algoritm cu complexitate O(n)?,Timp de execuție constant,Timp de execuție exponențial,Timp de execuție proporțional cu numărul elementelor,Timp de execuție imprevizibil,C
127,Algoritmii de sortare eficienți precum QuickSort și MergeSort au complexitate medie O(n log n).,Ce algoritmi de sortare au complexitate O(n log n)?,HeapSort și LinearSort,Selection Sort și Counting Sort,Bubble Sort și Insertion Sort,QuickSort și MergeSort,D
128,Algoritmii recursivi sunt cei care se apelează pe ei înșiși pentru a rezolva subprobleme mai mici.,Ce caracterizează un algoritm recursiv?,Se execută doar o singură dată,Folosește doar bucle iterative,Execută instrucțiuni în paralel,Se apelează pe sine pentru a rezolva subprobleme,D
129,Un algoritm iterativ folosește structuri de control precum buclele for și while pentru repetarea operațiilor.,Cum funcționează un algoritm iterativ?,Se bazează pe apeluri recursive,Folosește clase și metode,Repetă operațiile folosind bucle de control,Rulează în mod asincron,C
130,Analiza algoritmilor presupune evaluarea performanței lor în termeni de timp de execuție și consum de memorie.,Ce se studiază în analiza algoritmilor?,Numărul de linii de cod,Interfața grafică a programelor,Performanța algoritmilor în timp și spațiu,Structura fișierelor sursă,C
131,Un algoritm reprezintă o succesiune de operații necesare în rezolvarea unei probleme oarecare.,Ce reprezintă un algoritm?,O listă de programe executabile,O interfață grafică de utilizator,O succesiune de operații pentru rezolvarea unei probleme,O bază de date cu rezultate,C
132,Proprietatea de intrare a unui algoritm indică faptul că acesta poate primi zero sau mai multe date de intrare.,Ce înseamnă proprietatea de intrare a unui algoritm?,Algoritmul are o singură variabilă de intrare,Algoritmul generează întotdeauna un rezultat vizual,Algoritmul nu are nevoie de date de intrare,Algoritmul primește zero sau mai multe date de intrare,D
133,Proprietatea de ieșire a unui algoritm presupune existența a zero sau mai multe date de ieșire.,Ce exprimă proprietatea de ieșire a unui algoritm?,Că algoritmul nu produce niciodată rezultate,Că algoritmul are mereu o singură ieșire,Că algoritmul folosește doar valori numerice,Că algoritmul poate furniza zero sau mai multe rezultate,D
134,Claritatea și simplitatea definiției unui algoritm contribuie la înțelegerea și corectitudinea sa.,De ce este importantă claritatea în definirea unui algoritm?,Pentru a micșora dimensiunea codului sursă,Pentru a permite rularea mai rapidă a programului,Pentru a facilita înțelegerea și implementarea corectă,Pentru a simplifica traducerea în limbaj de asamblare,C
135,Proprietatea de scadență scontată a unui algoritm indică faptul că acesta trebuie să se termine într-un număr finit de pași.,Ce garantează scadența scontată a unui algoritm?,Că algoritmul nu are nevoie de date de intrare,Că algoritmul rulează infinit fără rezultate,Că algoritmul va produce un rezultat într-un timp finit,Că algoritmul folosește un limbaj de programare specific,C
136,Eficacitatea unui algoritm se referă la capacitatea acestuia de a produce efectul sau rezultatul așteptat.,Ce înseamnă eficacitatea unui algoritm?,Să aibă un timp minim de execuție,Să utilizeze cât mai puțină memorie,Să producă efectul sau rezultatul așteptat,Să fie scris în pseudocod,C
137,Un algoritm este independent de limbajul de programare sau de arhitectura pe care este executat.,Ce înseamnă independența unui algoritm față de limbajul de programare?,Poate fi implementat în orice limbaj de programare,Poate fi executat doar pe arhitectura originală,Depinde de tipul de procesor utilizat,Poate fi rulat doar în limbajul în care a fost scris,A
138,"Etapele specifice ale realizării unui algoritm includ definirea problemei, analiza, proiectarea, implementarea și testarea.",Care sunt etapele principale în dezvoltarea unui algoritm?,"Instalarea, configurarea și rularea programului","Definirea problemei, analiză, proiectare, implementare, testare","Scrierea codului, depanarea și publicarea aplicației","Compilare, rulare, optimizare, documentare",B
139,Analiza problemei implică specificarea datelor de intrare și de ieșire.,Ce presupune analiza unei probleme în dezvoltarea unui algoritm?,Stabilirea doar a datelor de ieșire,Testarea performanței algoritmului,Scrierea codului sursă,Specificarea datelor de intrare și ieșire,D
140,Proiectarea unui algoritm include analiza complexității pentru a evalua performanța acestuia.,Ce activitate este inclusă în proiectarea unui algoritm?,Analiza complexității,Compilarea programului,Scrierea documentației utilizatorului,Depanarea codului sursă,A
141,"Analiza datelor de intrare presupune identificarea tipului de date, a formei de reprezentare și a valorilor permise.",Ce aspecte se analizează la datele de intrare ale unui algoritm?,Doar numărul de variabile de intrare,Rezultatele finale ale programului,"Tipul de date, forma de reprezentare și valorile permise",Numărul de pași al algoritmului,C
142,Tipul de date al unei variabile influențează precizia și modul de reprezentare al informației în algoritm.,De ce este important tipul de date în analiza datelor de intrare?,Afectează viteza de tastare a utilizatorului,Controlează ordinea de execuție a pașilor,Determină precizia și modul de reprezentare al informației,Influențează aspectul grafic al programului,C
143,Forma de reprezentare a datelor de intrare poate influența precizia rezultatelor și validitatea calculelor.,Ce rol are forma de reprezentare a datelor de intrare?,Determină precizia rezultatelor și validitatea calculelor,Afectează doar timpul de execuție,Stabilește ordinea afișării rezultatelor,Controlează culoarea interfeței,A
144,Valorile permise și interzise pentru datele de intrare trebuie definite clar pentru a evita erori de execuție.,De ce trebuie precizate valorile permise și interzise pentru datele de intrare?,Pentru a reduce dimensiunea codului sursă,Pentru a evita erori de execuție și rezultate incorecte,Pentru a scurta timpul de compilare,Pentru a îmbunătăți estetica programului,B
